PRATASABA RESORT,,,,,,,,,
Fixed Asset List,,,,,,,,,
Asset Code,Asset Name,Asset Type Name,Asset Account,Asset Cost,Usage Date,Purchase Date,Estimated Life,% Depr Rate,Depreciation Method
PAA-0001,Deep Fryer Penggorengan Gas GF-20-FS,Machinery,1400500.0,11100000.0,30 Sep 2022,30 Sep 2022,8 Yr 0 Mth,12.5,Straight Line Method
PAA-0002,Under Counter Chiller Anti Karat UCC-180-3,Machinery,1400500.0,15700000.0,30 Sep 2022,30 Sep 2022,8 Yr 0 Mth,12.5,Straight Line Method
PAA-0003,Showcase Polytron SCN 230,Machinery,1400500.0,3825000.0,30 Sep 2022,30 Sep 2022,8 Yr 0 Mth,12.5,Straight Line Method
PAA-0004,Toshiba Canvio Basics 1TB - Harddisk Eksternal USB 3.0,Equipment,1400600.0,650000.0,30 Sep 2022,30 Sep 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0005,Clamp Meter (Ampere Meter) AC 400A,Equipment,1400600.0,623000.0,30 Sep 2022,30 Sep 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0006,Huruf PRATASABA RESORT,Equipment,1400600.0,2500000.0,30 Sep 2022,30 Sep 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0007,Meja dan Kursi Kayu Bulat (3meja + 6kursi),Furniture,1400900.0,2400000.0,30 Sep 2022,30 Sep 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0008,Kursi Rotan Kaki Hitam (5 set + jok + kaca),Furniture,1400900.0,8750000.0,30 Sep 2022,30 Sep 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0009,Kursi Miring Putih (2 set + jok + kaca),Furniture,1400900.0,3500000.0,30 Sep 2022,30 Sep 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0010,Bean Bag Cover Santana uk. 130x110x100,Furniture,1400900.0,1650000.0,30 Sep 2022,30 Sep 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0011,Electric Kettle Stainless Steel 2L 600W Food Grade EKG EKB,Equipment,1400600.0,914500.0,30 Sep 2022,30 Sep 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0012,Electric Kettle CTL-618 N Cosmos,Equipment,1400600.0,2700000.0,30 Sep 2022,30 Sep 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0013,Lumment Electric Kettle,Equipment,1400600.0,780000.0,30 Sep 2022,30 Sep 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0014,MS Pompa Celup 12C Yamamax,Equipment,1400600.0,570000.0,30 Sep 2022,30 Sep 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0015,Akari LED TV Digital HD 32inch LE-32V99T2 - Lodge (GOL.22313-HK),Equipment,1400600.0,1700000.0,31 Oct 2022,31 Oct 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0016,Akari LED TV Digital HD 32inch LE-32V99T2 - C6 (GOL.22325-HO),Equipment,1400600.0,8500000.0,31 Oct 2022,31 Oct 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0017,Bed Plush Pocket uk. 180x200 - C6,Furniture,1400900.0,2700000.0,31 Oct 2022,31 Oct 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0018,Furniture Set utk Proyek C6,Furniture,1400900.0,33100000.0,31 Oct 2022,31 Oct 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0019,Lampu Gantung - Minibar (GOL.22105-Civil),Furniture,1400900.0,3400500.0,31 Oct 2022,31 Oct 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0020,"AC Daikin 1,5 PK - Saroja C11 (GOL.22353-CME)",Equipment,1400600.0,5787000.0,30 Nov 2022,30 Nov 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0021,Hair Dryer Krisbow RCY100-23A - C6,Equipment,1400600.0,1874500.0,30 Nov 2022,30 Nov 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0022,Three Step Trolley Smallgrey84 + Big Gathering Bin Ware - MH,Equipment,1400600.0,1293900.0,30 Nov 2022,30 Nov 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0023,Safety Box Steel 17Nef White 1/3MM - C6,Equipment,1400600.0,2245000.0,30 Nov 2022,30 Nov 2022,8 Yr 0 Mth,12.5,Straight Line Method
PAA-0024,Table Lamp Marble - C6,Furniture,1400900.0,2094000.0,30 Nov 2022,30 Nov 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0025,Baofeng BF-888S HT UHF WT - Security & CME (GOL.22376-FO),Equipment,1400600.0,555000.0,30 Nov 2022,30 Nov 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0026,Pigura Kayu - C6,Furniture,1400900.0,3750000.0,30 Nov 2022,30 Nov 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0027,Pompa Sanyo PH-175 - Mess Karyawan (GOL.22398-CME),Machinery,1400500.0,2550000.0,30 Nov 2022,30 Nov 2022,8 Yr 0 Mth,12.5,Straight Line Method
PAA-0028,Cottage C6,Building,1400200.0,893668772.94,31 Dec 2022,31 Dec 2022,10 Yr 0 Mth,10.0,Straight Line Method
PAA-0029,Kursi Pantai,Furniture,1400900.0,15000000.0,31 Dec 2022,31 Dec 2022,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0030,"Mesin Cuci Sharp ES-T1270SJ-BL (GOL.22438-HK, mess karyawan)",Equipment,1400600.0,2600000.0,31 Jan 2023,31 Jan 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0031,"Dispenser Miyako 190 PH (GOL.22404-HK, mess karyawan)",Equipment,1400600.0,250000.0,31 Jan 2023,31 Jan 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0032,"Blender Miyako 101 PL (GOL.22404-HK, mess karyawan)",Equipment,1400600.0,275000.0,31 Jan 2023,31 Jan 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0033,Alat Las Lakoni 450w IGBT Inventer W.Basic 12IX (GOL.23028-CME),Equipment,1400600.0,900000.0,31 Jan 2023,31 Jan 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0034,Short Boot Zeepro 3mm - Black - Size 4 (34-35) (GOL.23031-DC),Equipment,1400600.0,249000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0035,Short Boot Zeepro 3mm - Black - Size 5 (36) (GOL.23031-DC),Equipment,1400600.0,498000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0036,Fin Strap Zeepro Rubber Adult Snorkeling (GOL.23031-DC),Equipment,1400600.0,156000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
PAA-0037,Short Mouthpiece Zeepro Regulator Silicone - Black (GOL.23031-DC),Equipment,1400600.0,140000.0,28 Feb 2023,28 Feb 2023,4 Yr 0 Mth,25.0,Straight Line Method
