PRATASABA RESORT,,,,,,,,,
Saba Resto Price List,,,,,,,,,
"Filtered By :Quantity, Suspended",,,,,,,,,
,,,Item Description,,,,,Unit Price,Item Type
,2026_FOOD & BEVERAGES,,MENU SABA RESTO (NEW PRICE JUNI 2026),,,,,0.0,Non Inventory Part
,F&B-0001,,,MEALS PACKAGES,,PAKET MAKAN,,0.0,Non Inventory Part
,,Pack-001,,,LUNCH PACKAGES,,PAKET MAKAN SIANG,200000.0,Non Inventory Part
,,Pack-002,,,DINNER PACKAGES,,PAKET MAKAN MALAM,200000.0,Non Inventory Part
,,Pack-003,,,DINNER BARBEQUE,,PAKET MAKAN MALAM - BARBEQUE,300000.0,Non Inventory Part
,,Pack-004,,,LUNCH BOX GUEST,,PAKET MAKAN SIANG - BOX,100000.0,Non Inventory Part
,,Pack-005,,,MEALS CREW,,PAKET MAKAN KRU (MOTORIS/GUIDE/DLL),30000.0,Non Inventory Part
,,Pack-006,,,ROMANTIC DINNER,,PAKET MAKAN MALAM - ROMANTIC,500000.0,Non Inventory Part
,,Pack-007,,,HALFDAY MEETING PACKAGES,,PAKET MEETING - 1x Lunch/Dinner + 1x Coffee Break,275000.0,Non Inventory Part
,,Pack-008,,,FULLDAY MEETING PACKAGES,,PAKET MEETING - 1x Lunch/Dinner + 2x Coffee Break,350000.0,Non Inventory Part
,,Pack-009,,,FULLBOARD MEETING PACKAGES,,PAKET MEETING - Lunch + Dinner + 2x Coffee Break,550000.0,Non Inventory Part
,,Pack-010,,,AFTERNOON SNACK,,SNACK SORE,50000.0,Non Inventory Part
,,Pack-011,,,COFFEE BREAK,,COFFEE BREAK,75000.0,Non Inventory Part
,F&B-0002,,, SNACK,,CAMILAN,,0.0,Non Inventory Part
,,Snack-001,,,ASSORTED FRUITS ,,BUAH POTONG,50000.0,Non Inventory Part
,,Snack-002,,,FRUIT SALAD,,SALAD BUAH,65000.0,Non Inventory Part
